"Population résidante permanente et non permanente selon les niveaux géographiques institutionnels, le sexe, la nationalité et l'âge"

"Année"	"Canton (-) / District (>>) / Commune (......)"	"Type de population"	Population résidante permanente et non permanente
"2014"	"Suisse"	"Population résidante permanente"	8237666
"2014"	"Suisse"	"Population résidante non permanente"	86888
"2014"	"- Zürich"	"Population résidante permanente"	1446354
"2014"	"- Zürich"	"Population résidante non permanente"	13725
"2014"	">> Bezirk Affoltern"	"Population résidante permanente"	50591
"2014"	">> Bezirk Affoltern"	"Population résidante non permanente"	245
"2014"	"......0001 Aeugst am Albis"	"Population résidante permanente"	1959
"2014"	"......0001 Aeugst am Albis"	"Population résidante non permanente"	6
"2014"	"......0002 Affoltern am Albis"	"Population résidante permanente"	11552
"2014"	"......0002 Affoltern am Albis"	"Population résidante non permanente"	113
"2014"	"......0003 Bonstetten"	"Population résidante permanente"	5287
"2014"	"......0003 Bonstetten"	"Population résidante non permanente"	9
"2014"	"......0004 Hausen am Albis"	"Population résidante permanente"	3467
"2014"	"......0004 Hausen am Albis"	"Population résidante non permanente"	12
"2014"	"......0005 Hedingen"	"Population résidante permanente"	3651
"2014"	"......0005 Hedingen"	"Population résidante non permanente"	7
"2014"	"......0006 Kappel am Albis"	"Population résidante permanente"	1014
"2014"	"......0006 Kappel am Albis"	"Population résidante non permanente"	4
"2014"	"......0007 Knonau"	"Population résidante permanente"	2037
"2014"	"......0007 Knonau"	"Population résidante non permanente"	9
"2014"	"......0008 Maschwanden"	"Population résidante permanente"	665
"2014"	"......0008 Maschwanden"	"Population résidante non permanente"	3
"2014"	"......0009 Mettmenstetten"	"Population résidante permanente"	4473
"2014"	"......0009 Mettmenstetten"	"Population résidante non permanente"	8
"2014"	"......0010 Obfelden"	"Population résidante permanente"	4927
"2014"	"......0010 Obfelden"	"Population résidante non permanente"	28
"2014"	"......0011 Ottenbach"	"Population résidante permanente"	2548
"2014"	"......0011 Ottenbach"	"Population résidante non permanente"	5
"2014"	"......0012 Rifferswil"	"Population résidante permanente"	999
"2014"	"......0012 Rifferswil"	"Population résidante non permanente"	7
"2014"	"......0013 Stallikon"	"Population résidante permanente"	3297
"2014"	"......0013 Stallikon"	"Population résidante non permanente"	26
"2014"	"......0014 Wettswil am Albis"	"Population résidante permanente"	4715
"2014"	"......0014 Wettswil am Albis"	"Population résidante non permanente"	8
"2014"	">> Bezirk Andelfingen"	"Population résidante permanente"	30654
"2014"	">> Bezirk Andelfingen"	"Population résidante non permanente"	117
"2014"	"......0021 Adlikon"	"Population résidante permanente"	608
"2014"	"......0021 Adlikon"	"Population résidante non permanente"	1
"2014"	"......0022 Benken (ZH)"	"Population résidante permanente"	833
"2014"	"......0022 Benken (ZH)"	"Population résidante non permanente"	3
"2014"	"......0023 Berg am Irchel"	"Population résidante permanente"	579
"2014"	"......0023 Berg am Irchel"	"Population résidante non permanente"	3
"2014"	"......0024 Buch am Irchel"	"Population résidante permanente"	927
"2014"	"......0024 Buch am Irchel"	"Population résidante non permanente"	0
"2014"	"......0025 Dachsen"	"Population résidante permanente"	2008
"2014"	"......0025 Dachsen"	"Population résidante non permanente"	7
"2014"	"......0026 Dorf"	"Population résidante permanente"	646
"2014"	"......0026 Dorf"	"Population résidante non permanente"	3
"2014"	"......0027 Feuerthalen"	"Population résidante permanente"	3498
"2014"	"......0027 Feuerthalen"	"Population résidante non permanente"	15
"2014"	"......0028 Flaach"	"Population résidante permanente"	1363
"2014"	"......0028 Flaach"	"Population résidante non permanente"	1
"2014"	"......0029 Flurlingen"	"Population résidante permanente"	1426
"2014"	"......0029 Flurlingen"	"Population résidante non permanente"	9
"2014"	"......0030 Andelfingen"	"Population résidante permanente"	2153
"2014"	"......0030 Andelfingen"	"Population résidante non permanente"	5
"2014"	"......0031 Henggart"	"Population résidante permanente"	2275
"2014"	"......0031 Henggart"	"Population résidante non permanente"	5
"2014"	"......0032 Humlikon"	"Population résidante permanente"	498
"2014"	"......0032 Humlikon"	"Population résidante non permanente"	0
"2014"	"......0033 Kleinandelfingen"	"Population résidante permanente"	2062
"2014"	"......0033 Kleinandelfingen"	"Population résidante non permanente"	15
"2014"	"......0034 Laufen-Uhwiesen"	"Population résidante permanente"	1632
"2014"	"......0034 Laufen-Uhwiesen"	"Population résidante non permanente"	5
"2014"	"......0035 Marthalen"	"Population résidante permanente"	1990
"2014"	"......0035 Marthalen"	"Population résidante non permanente"	5
"2014"	"......0036 Oberstammheim"	"Population résidante permanente"	1153
"2014"	"......0036 Oberstammheim"	"Population résidante non permanente"	1
