code,EN,FR,DE,IT,PT,AR,RU,ES,JA,ZH
main.title,Flickr pictures in Switzerland,,,,,,,,,
descr,Location of all pictures geolocalised in Switzerland and uploaded to flickr between 2014-01-01 and 2016-07-14 (22'433 pictures),,,,,,,,,
source,Source,source,Quelle,Fonte,fonte,المصدر,Источник,Fuente,出典,来源
title2,Population density by Swiss municipalities,,,,,,,,,
descr2,Swiss municipalities coloured according to their population density. The 5 largest agglomerations and their total population are shown,,,,,,,,,
popdensity,Inhabitants per square km,,,,,,,,,
agglosize,Inhabitants (in thousands),,,,,,,,,
source.name,"flickr, Swiss Federal Statistical Office & swisstopo | swissinfo.ch | @duc_qn",,,,,,,,,
title3,Top 10 municipalities by total number of flickr pictures,,,,,,,,,
footer3,swissinfo.ch,,,,,,,,,
Zürich,Zurich,,,,,,,,,
Bern,Bern,,,,,,,,,
Basel,Basel,,,,,,,,,
Genève,Geneva,,,,,,,,,
Lausanne,Lausanne,,,,,,,,,
Lac Léman (VD),Geneva Lake,,,,,,,,,
Zermatt,Zermatt,,,,,,,,,
Luzern,Luzern,,,,,,,,,
Lauterbrunnen,Lauterbrunnen,,,,,,,,,
Martigny,Martigny,,,,,,,,,
