"BFS_NUMMER","Total number of pictures by municipality","Total number of picture' views by municipality","Average number of picture' views by municipality","Total number of favorited pictures by municipality","Average number of favorited pictures by municipality","Habitants","Densité de la population par km²","total number of favorited / total number of pics by municipality","total number of views / total number of pics by municipality","Total pictures by capita & by municipality","Total picture views by capita & by municipality","Average #views by capita and by municipality","Total favorited pictures by capita & by municipality","Average favorited pictures by capita & by municipality"
2,25,589,23.56,0,0,11363,1071,0,23.56,0.00220012320689959,0.0518349027545543,0.00207339611018217,0,0
3,2,37,18.5,0,0,5260,708,0,18.5,0.000380228136882129,0.00703422053231939,0.0035171102661597,0,0
4,5,599,119.8,30,6,3431,252,6,119.8,0.0014573010784028,0.174584669192655,0.034916933838531,0.00874380647041679,0.00174876129408336
5,6,187,31.1666666666667,13,2.16666666666667,3595,551,2.16666666666667,31.1666666666667,0.00166898470097357,0.0520166898470097,0.00866944830783496,0.00361613351877608,0.000602688919796013
9,2,96,48,5,2.5,4423,340,2.5,48,0.000452181777074384,0.0217047252995704,0.0108523626497852,0.00113045444268596,0.00056522722134298
12,1,553,553,5,5,959,147,5,553,0.00104275286757039,0.576642335766423,0.576642335766423,0.00521376433785193,0.00521376433785193
13,55,6756,122.836363636364,124,2.25454545454545,3339,277,2.25454545454545,122.836363636364,0.0164719976040731,2.02336028751123,0.0367883688638406,0.0371368673255466,0.000675215769555392
14,2,20,10,0,0,4646,1236,0,10,0.000430477830391735,0.00430477830391735,0.00215238915195867,0,0
25,1,3,3,0,0,1984,732,0,3,0.000504032258064516,0.00151209677419355,0.00151209677419355,0,0
34,97,17112,176.412371134021,970,10,1622,259,10,176.412371134021,0.0598027127003699,10.5499383477189,0.108762251007411,0.598027127003699,0.0061652281134402
38,2,1461,730.5,61,30.5,1326,149,30.5,730.5,0.00150829562594268,1.10180995475113,0.550904977375566,0.0460030165912519,0.0230015082956259
51,1,183,183,2,2,4047,939,2,183,0.000247096614776378,0.0452186805040771,0.0452186805040771,0.000494193229552755,0.000494193229552755
52,8,494,61.75,6,0.75,11350,1258,0.75,61.75,0.000704845814977974,0.0435242290748899,0.00544052863436123,0.00052863436123348,6.6079295154185e-05
55,6,3943,657.166666666667,83,13.8333333333333,4942,545,13.8333333333333,657.166666666667,0.00121408336705787,0.797855119384864,0.132975853230811,0.0167948199109672,0.00279913665182787
62,333,48582,145.891891891892,1255,3.76876876876877,18400,955,3.76876876876877,145.891891891892,0.0180978260869565,2.64032608695652,0.0079289071680376,0.0682065217391304,0.000204824389606998
66,19,3764,198.105263157895,55,2.89473684210526,16403,2934,2.89473684210526,198.105263157895,0.00115832469670182,0.229470218862403,0.0120773799401265,0.00335304517466317,0.000176476061824377
67,43,6160,143.255813953488,75,1.74418604651163,4175,391,1.74418604651163,143.255813953488,0.0102994011976048,1.47544910179641,0.0343127698092188,0.0179640718562874,0.000417769112936917
68,1,4,4,0,0,2586,585,0,4,0.000386697602474865,0.00154679040989946,0.00154679040989946,0,0
72,1,269,269,19,19,4196,517,19,269,0.000238322211630124,0.0641086749285033,0.0641086749285033,0.00452812202097235,0.00452812202097235
81,5,108,21.6,6,1.2,610,67,1.2,21.6,0.00819672131147541,0.177049180327869,0.0354098360655738,0.00983606557377049,0.0019672131147541
82,3,47,15.6666666666667,0,0,1311,331,0,15.6666666666667,0.0022883295194508,0.0358504958047292,0.0119501652682431,0,0
85,7,901,128.714285714286,0,0,1955,681,0,128.714285714286,0.00358056265984655,0.460869565217391,0.0658385093167702,0,0
86,4,79,19.75,0,0,5888,1005,0,19.75,0.000679347826086957,0.0134171195652174,0.00335427989130435,0,0
90,9,1768,196.444444444444,142,15.7777777777778,8871,786,15.7777777777778,196.444444444444,0.00101454176530267,0.199301093450569,0.0221445659389521,0.0160072145192199,0.00177857939102444
92,26,8218,316.076923076923,422,16.2307692307692,6474,785,16.2307692307692,316.076923076923,0.00401606425702811,1.26938523324065,0.0488225089707944,0.065183812171764,0.002507069698914
95,9,158,17.5555555555556,7,0.777777777777778,485,205,0.777777777777778,17.5555555555556,0.0185567010309278,0.325773195876289,0.0361970217640321,0.0144329896907217,0.00160366552119129
96,4,240,60,34,8.5,17179,1175,8.5,60,0.000232842423889633,0.013970545433378,0.00349263635834449,0.00197916060306188,0.000494790150765469
97,67,2846,42.4776119402985,66,0.985074626865672,7231,581,0.985074626865672,42.4776119402985,0.00926566173419997,0.39358318351542,0.00587437587336447,0.00912736827548057,0.000136229377245979
102,7,5411,773,133,19,1077,113,19,773,0.00649953574744661,5.02414113277623,0.717734447539461,0.123491179201486,0.0176415970287837
114,22,346,15.7272727272727,1,0.0454545454545455,2326,77,0.0454545454545455,15.7272727272727,0.00945829750644884,0.148753224419604,0.00676151020089111,0.000429922613929493,1.95419369967951e-05
117,1,1302,1302,6,6,10751,482,6,1302,9.3014603292717e-05,0.121105013487117,0.121105013487117,0.000558087619756302,0.000558087619756302
118,32,4803,150.09375,0,0,11993,1192,0,150.09375,0.00266822313015926,0.400483615442341,0.0125151129825732,0,0
119,5,74,14.8,0,0,1333,354,0,14.8,0.00375093773443361,0.0555138784696174,0.0111027756939235,0,0
120,2,745,372.5,15,7.5,9346,370,7.5,372.5,0.000213995292103574,0.0797132463085812,0.0398566231542906,0.0016049646907768,0.000802482345388401
121,4,1769,442.25,16,4,23726,1416,4,442.25,0.000168591418696788,0.0745595549186546,0.0186398887296637,0.000674365674787153,0.000168591418696788
131,4,105,26.25,0,0,18262,2350,0,26.25,0.000219034059796298,0.00574964406965283,0.00143741101741321,0,0
132,3,1379,459.666666666667,115,38.3333333333333,2146,221,38.3333333333333,459.666666666667,0.00139794967381174,0.642590866728798,0.214196955576266,0.0535880708294501,0.0178626902764834
133,55,434,7.89090909090909,2,0.0363636363636364,19608,929,0.0363636363636364,7.89090909090909,0.00280497756017952,0.0221338229294166,0.00040243314417121,0.000101999184006528,1.85453061830051e-06
134,1,4190,4190,153,153,908,125,153,4190,0.00110132158590308,4.61453744493392,4.61453744493392,0.168502202643172,0.168502202643172
135,5,272,54.4,12,2.4,7809,3027,2.4,54.4,0.000640286848508132,0.0348316045588424,0.00696632091176847,0.00153668843641952,0.000307337687283903
136,5,927,185.4,17,3.4,7330,845,3.4,185.4,0.000682128240109141,0.126466575716235,0.0252933151432469,0.00231923601637108,0.000463847203274216
137,2,6,3,0,0,4975,1783,0,3,0.000402010050251256,0.00120603015075377,0.000603015075376884,0,0
138,1,147,147,3,3,13022,1727,3,147,7.67931193365075e-05,0.0112885885424666,0.0112885885424666,0.000230379358009522,0.000230379358009522
140,1,473,473,23,23,1885,172,23,473,0.000530503978779841,0.250928381962865,0.250928381962865,0.0122015915119363,0.0122015915119363
141,4,167,41.75,4,1,17554,3192,1,41.75,0.000227868292127151,0.00951350119630853,0.00237837529907713,0.000227868292127151,5.69670730317876e-05
142,5,2186,437.2,76,15.2,21012,1208,15.2,437.2,0.000237959261374453,0.104035789072911,0.0208071578145821,0.00361698077289168,0.000723396154578336
154,4,383,95.75,7,1.75,13658,1106,1.75,95.75,0.000292868648411188,0.0280421730853712,0.0070105432713428,0.000512520134719578,0.000128130033679895
156,2,18,9,0,0,13082,1096,0,9,0.000152881822351322,0.0013759364011619,0.000687968200580951,0,0
157,2,1884,942,154,77,4590,752,77,942,0.000435729847494553,0.410457516339869,0.205228758169935,0.0335511982570806,0.0167755991285403
158,11,278,25.2727272727273,4,0.363636363636364,13931,1624,0.363636363636364,25.2727272727273,0.000789605914866126,0.0199554949393439,0.00181413590357672,0.000287129423587682,2.61026748716075e-05
161,1,15,15,0,0,12324,1568,0,15,8.11424862057773e-05,0.00121713729308666,0.00121713729308666,0,0
171,5,4601,920.2,192,38.4,4307,207,38.4,920.2,0.00116090085906664,1.06826097051312,0.213652194102624,0.0445785929881588,0.00891571859763176
175,3,719,239.666666666667,1,0.333333333333333,407,53,0.333333333333333,239.666666666667,0.00737100737100737,1.76658476658477,0.588861588861589,0.00245700245700246,0.000819000819000819
177,1,33,33,2,2,11105,568,2,33,9.0049527239982e-05,0.00297163439891941,0.00297163439891941,0.000180099054479964,0.000180099054479964
