OFSKey,Name,Population,PopByKm2
1,Aeugst am Albis,1959,248
2,Affoltern am Albis,11552,1089
3,Bonstetten,5287,712
4,Hausen am Albis,3467,255
5,Hedingen,3651,559
6,Kappel am Albis,1014,128
7,Knonau,2037,315
8,Maschwanden,665,142
9,Mettmenstetten,4473,344
10,Obfelden,4927,653
11,Ottenbach,2548,509
12,Rifferswil,999,153
13,Stallikon,3297,274
14,Wettswil am Albis,4715,1254
21,Adlikon,608,92
22,Benken (ZH),833,147
23,Berg am Irchel,579,82
24,Buch am Irchel,927,90
25,Dachsen,2008,741
26,Dorf,646,116
27,Feuerthalen,3498,1410
28,Flaach,1363,134
29,Flurlingen,1426,589
30,Andelfingen,2153,320
31,Henggart,2275,748
32,Humlikon,498,135
33,Kleinandelfingen,2062,200
34,Laufen-Uhwiesen,1632,260
35,Marthalen,1990,141
36,Oberstammheim,1153,122
37,Ossingen,1391,106
38,Rheinau,1315,147
39,Thalheim an der Thur,915,142
40,Trüllikon,1011,106
41,Truttikon,463,105
42,Unterstammheim,894,123
43,Volken,339,106
44,Waltalingen,675,93
51,Bachenbülach,4079,946
52,Bassersdorf,11404,1264
53,Bülach,18895,1174
54,Dietlikon,7578,1787
55,Eglisau,4966,548
56,Embrach,9114,718
57,Freienstein-Teufen,2310,275
58,Glattfelden,4838,393
59,Hochfelden,2024,329
60,Höri,2663,557
61,Hüntwangen,1015,207
62,Kloten,18373,953
63,Lufingen,1915,369
64,Nürensdorf,5385,537
65,Oberembrach,1092,107
66,Opfikon,17173,3072
67,Rafz,4243,397
68,Rorbas,2705,612
69,Wallisellen,15373,2391
70,Wasterkingen,568,143
71,Wil (ZH),1357,152
72,Winkel,4172,514
81,Bachs,598,65
82,Boppelsen,1284,324
83,Buchs (ZH),6172,1057
84,Dällikon,3904,868
85,Dänikon,1947,678
86,Dielsdorf,5917,1010
87,Hüttikon,703,442
88,Neerach,3008,499
89,Niederglatt,4721,1308
90,Niederhasli,9044,801
91,Niederweningen,2877,420
92,Oberglatt,6639,805
93,Oberweningen,1826,369
94,Otelfingen,2800,391
95,Regensberg,489,206
96,Regensdorf,17478,1195
97,Rümlang,7553,607
98,Schleinikon,730,129
99,Schöfflisdorf,1389,346
100,Stadel,2160,167
101,Steinmaur,3393,361
102,Weiach,1158,121
111,Bäretswil,4993,225
112,Bubikon,6974,601
113,Dürnten,7403,724
114,Fischenthal,2323,77
115,Gossau (ZH),9773,535
116,Grüningen,3373,384
117,Hinwil,10799,484
118,Rüti (ZH),12010,1194
119,Seegräben,1398,371
120,Wald (ZH),9478,375
121,Wetzikon (ZH),23938,1429
131,Adliswil,18448,2374
132,Hirzel,2134,220
133,Horgen,20033,949
134,Hütten,907,124
135,Kilchberg (ZH),7873,3052
136,Langnau am Albis,7426,857
137,Oberrieden,5031,1803
138,Richterswil,13035,1729
139,Rüschlikon,5573,1902
140,Schönenberg (ZH),1884,172
141,Thalwil,17631,3206
142,Wädenswil,21245,1222
151,Erlenbach (ZH),5449,1885
152,Herrliberg,6242,695
153,Hombrechtikon,8430,692
154,Küsnacht (ZH),13849,1121
155,Männedorf,10537,2209
156,Meilen,13239,1109
157,Oetwil am See,4599,754
158,Stäfa,13955,1626
159,Uetikon am See,5962,1723
160,Zumikon,5151,942
161,Zollikon,12533,1595
171,Bauma,4372,210
172,Fehraltorf,6317,666
173,Hittnau,3644,281
174,Illnau-Effretikon,16288,644
175,Kyburg,405,53
176,Lindau,5388,449
177,Pfäffikon,11275,577
178,Russikon,4202,296
179,Sternenberg,350,40
180,Weisslingen,3241,253
181,Wila,1921,209
182,Wildberg,994,94
191,Dübendorf,26317,1932
192,Egg,8336,575
193,Fällanden,8192,1284
194,Greifensee,5309,2288
195,Maur,9738,659
196,Mönchaltorf,3633,478
197,Schwerzenbach,5004,1888
198,Uster,33412,1171
199,Volketswil,18437,1314
200,Wangen-Brüttisellen,7626,963
211,Altikon,667,87
213,Brütten,2030,307
214,Dägerlen,980,123
215,Dättlikon,762,264
216,Dinhard,1490,211
217,Elgg,4146,266
218,Ellikon an der Thur,905,180
219,Elsau,3472,431
220,Hagenbuch,1111,137
221,Hettlingen,3066,520
222,Hofstetten (ZH),482,55
223,Neftenbach,5504,366
224,Pfungen,3651,733
225,Rickenbach (ZH),2562,424
226,Schlatt (ZH),754,84
227,Seuzach,7240,956
228,Turbenthal,4444,176
230,Winterthur,106778,1569
231,Zell (ZH),5696,439
241,Aesch (ZH),1184,226
242,Birmensdorf (ZH),6194,542
243,Dietikon,26277,2816
244,Geroldswil,4831,2503
245,Oberengstringen,6551,3033
246,Oetwil an der Limmat,2309,837
247,Schlieren,17905,2713
248,Uitikon,3962,907
